"","model_numbers","hidden","rate","l1","epochs","train_error","test_error","train_mse","test_mse","activation","input_dropout_ratio","mse_errors","mean_per_class_error","nesterov_accelerated_gradient"
"38",0,"100, 100",0.005,0,10.4276028436264,0,0.133064516129032,6.99915027083718e-06,0.116409403732813,"Rectifier",0,6.99915027083718e-06,0.126997963573391,TRUE
"7",1,"100, 100",0.005,0,21.4107840446334,0.0255293859146196,0.110887096774194,0.0278607561034465,0.103624565474788,"RectifierWithDropout",0,0.0278607561034465,0.110856883098533,TRUE
"39",2,"150, 150",0.005,0,12.0594541805935,0,0.100806451612903,2.32670872956637e-06,0.0930911407569592,"Rectifier",0,2.32670872956637e-06,0.11584955651562,TRUE
"8",3,"150, 150",0.005,0,21.6216788834443,0.01204064987278,0.112903225806452,0.013075133619294,0.0952207144052867,"RectifierWithDropout",0,0.013075133619294,0.108323831140833,TRUE
"40",4,"540, 320",0.005,0,11.9386642930445,0,0.0846774193548387,0.000129124948782209,0.0814421625727631,"Rectifier",0,0.00012912494878221,0.10215484776688,TRUE
"6",5,"540, 320",0.005,0,20.8809640582675,0.000974755719592117,0.0887096774193549,0.00105805606299405,0.0782217803317704,"RectifierWithDropout",0,0.00105805606299405,0.0912929238037969,TRUE
"35",6,"100, 100, 100",0.005,0,12.4141690194686,0,0.106854838709677,1.1147401091346e-06,0.0975322762634459,"Rectifier",0,1.1147401091346e-06,0.10830784536877,TRUE
"18",7,"100, 100, 100",0.005,0,21.433700221676,0.0319775713817474,0.100806451612903,0.0288959771331556,0.0924703646368521,"RectifierWithDropout",0,0.0288959771331555,0.116198686722965,TRUE
"26",8,"540, 320, 100",0.005,0,11.9277186579286,0,0.0846774193548387,6.97277031997625e-06,0.083843508560401,"Rectifier",0,6.97277031997625e-06,0.0994756439122421,TRUE
"16",9,"540, 320, 100",0.005,0,20.941526406639,0.00746834093045774,0.100806451612903,0.00670789402242188,0.0851163004066772,"RectifierWithDropout",0,0.00670789402242191,0.0909265023722255,TRUE
"34",10,"100, 100",0.005,0,17.6582870273342,0,0.092741935483871,4.87473768773098e-05,0.0877668274747515,"Rectifier",0.2,4.87473768773099e-05,0.0963349445364712,TRUE
"4",11,"100, 100",0.005,0,21.5801636917714,0.029472761882334,0.108870967741935,0.0308484087367635,0.0985855047348002,"RectifierWithDropout",0.2,0.0308484087367635,0.107013872470942,TRUE
"36",12,"150, 150",0.005,0,13.1267073372722,0,0.116935483870968,4.08150489062442e-05,0.101781307000951,"Rectifier",0.2,4.08150489062442e-05,0.0985567294276598,TRUE
"3",13,"150, 150",0.005,0,21.4128939051467,0.0269486437670118,0.108870967741935,0.0237140527463981,0.0942631636393153,"RectifierWithDropout",0.2,0.0237140527463981,0.101852254978633,TRUE
"37",14,"540, 320",0.005,0,13.694673733532,0,0.0806451612903226,3.07254390681323e-05,0.0714735097851206,"Rectifier",0.2,3.07254390681324e-05,0.0925159570542954,TRUE
"1",15,"540, 320",0.005,0,20.8789067354756,0.00248459091363784,0.0967741935483871,0.00255525125034783,0.0839801603771028,"RectifierWithDropout",0.2,0.00255525125034783,0.0899616012141123,TRUE
"29",16,"100, 100, 100",0.005,0,18.9118944599719,0,0.092741935483871,3.87847859028825e-05,0.0838158597432157,"Rectifier",0.2,3.87847859028825e-05,0.101970550755215,TRUE
"19",17,"100, 100, 100",0.005,0,21.6125984775074,0.0511462711827302,0.120967741935484,0.0433614152001744,0.105715440536078,"RectifierWithDropout",0.2,0.0433614152001744,0.116470563830118,TRUE
"24",18,"540, 320, 100",0.005,0,15.8149007433447,0,0.0887096774193549,8.79483028544314e-05,0.0796840848380375,"Rectifier",0.2,8.79483028544314e-05,0.0916943150804763,TRUE
"9",19,"540, 320, 100",0.005,0,21.3261942275871,0.0163620735767353,0.0967741935483871,0.0136165058766691,0.0848555856165621,"RectifierWithDropout",0.2,0.0136165058766691,0.092960140340567,TRUE
"27",20,"100, 100",0.005,1.4e-05,11.704411773539,0.00091324200913242,0.110887096774194,0.00103488512653509,0.101435634222988,"Rectifier",0,0.00103488512653509,0.116345547479204,TRUE
"14",21,"100, 100",0.005,1.4e-05,21.4316388587717,0.0214778061214598,0.112903225806452,0.0230146368942504,0.0982611690313613,"RectifierWithDropout",0,0.0230146368942504,0.113760859095674,TRUE
"28",22,"150, 150",0.005,1.4e-05,10.9856853524042,0,0.118951612903226,1.88817524097712e-06,0.105281199549491,"Rectifier",0,1.88817524097712e-06,0.107344500053763,TRUE
"5",23,"150, 150",0.005,1.4e-05,21.6071279491202,0.0139492795861107,0.0987903225806451,0.0139024403160722,0.0893794601388498,"RectifierWithDropout",0,0.0139024403160722,0.105048605728718,TRUE
"30",24,"540, 320",0.005,1.4e-05,12.5880951809721,0.000974755719592117,0.0967741935483871,0.000975866983638263,0.0849232246693464,"Rectifier",0,0.000975866983638263,0.0909753163276557,TRUE
"11",25,"540, 320",0.005,1.4e-05,20.3112119458822,0.00045662100456621,0.094758064516129,0.000717929131245155,0.0829503782907334,"RectifierWithDropout",0,0.000717929131245156,0.0897927760341734,TRUE
"25",26,"100, 100, 100",0.005,1.4e-05,11.7106482912884,0,0.104838709677419,1.60369477885587e-05,0.0998445841334345,"Rectifier",0,1.60369477885587e-05,0.112927253843422,TRUE
"20",27,"100, 100, 100",0.005,1.4e-05,21.4088328003149,0.0336923378810577,0.118951612903226,0.0293731645149297,0.101397838930708,"RectifierWithDropout",0,0.0293731645149297,0.114670388039437,TRUE
"21",28,"540, 320, 100",0.005,1.4e-05,15.6260202584779,0.000478468899521531,0.108870967741935,0.000446697330589861,0.0905722102500434,"Rectifier",0,0.000446697330589861,0.0856483977018561,TRUE
"17",29,"540, 320, 100",0.005,1.4e-05,20.7277093440372,0.00946829790202773,0.100806451612903,0.00853547180501978,0.0882006412778039,"RectifierWithDropout",0,0.00853547180501979,0.0928125190070194,TRUE
"31",30,"100, 100",0.005,1.4e-05,14.7400146560275,0,0.110887096774194,4.40838345536614e-05,0.0933462433938632,"Rectifier",0.2,4.40838345536615e-05,0.107644800014831,TRUE
"10",31,"100, 100",0.005,1.4e-05,21.5973468639475,0.0342656516199338,0.108870967741935,0.032550108051425,0.0954173018492101,"RectifierWithDropout",0.2,0.032550108051425,0.1060992891384,TRUE
"33",32,"150, 150",0.005,1.4e-05,16.0189982004896,0,0.106854838709677,1.45225583048336e-05,0.0974834410275805,"Rectifier",0.2,1.45225583048336e-05,0.0992334481748789,TRUE
"13",33,"150, 150",0.005,1.4e-05,21.4052149653241,0.0251128375839385,0.0967741935483871,0.0228376335536083,0.0903581954476265,"RectifierWithDropout",0.2,0.0228376335536083,0.100446179855253,TRUE
"32",34,"540, 320",0.005,1.4e-05,17.3085745917752,0,0.0887096774193549,8.67541164217869e-05,0.0796179395351176,"Rectifier",0.2,8.67541164217871e-05,0.0850412885121086,TRUE
"2",35,"540, 320",0.005,1.4e-05,20.4576776599261,0.00187591599528977,0.0967741935483871,0.00250509009448524,0.0847410811850569,"RectifierWithDropout",0.2,0.00250509009448524,0.0924179346068251,TRUE
"22",36,"100, 100, 100",0.005,1.4e-05,19.4467376504714,0,0.100806451612903,0.000106054083642551,0.0883349752605957,"Rectifier",0.2,0.000106054083642551,0.0922054752892344,TRUE
"15",37,"100, 100, 100",0.005,1.4e-05,21.5929357046603,0.0505571031522106,0.116935483870968,0.0437415446625821,0.10641842643875,"RectifierWithDropout",0.2,0.0437415446625821,0.116569478634042,TRUE
"23",38,"540, 320, 100",0.005,1.4e-05,15.5805631758677,0.00105576912362806,0.104838709677419,0.00103837647920395,0.0979944228105738,"Rectifier",0.2,0.00103837647920395,0.0850830670543639,TRUE
"12",39,"540, 320, 100",0.005,1.4e-05,21.1296571812186,0.0163034468299214,0.094758064516129,0.0130753906566232,0.0839302591214288,"RectifierWithDropout",0.2,0.0130753906566232,0.0915952901854819,TRUE
